,15年第二季度,15年第三季度,15年第四季度,16年第一季度
GQY视讯,0.518693735,0.60070371,0.378992311,0.600279018
ST成城,0.261735371,0.318593214,0.291319524,0.427348949
ST沪科,0.174914407,0.47913857,0.305691868,0.548771703
ST华泽,0.507663372,0,0.331458599,0.557936189
ST明科,0.230576388,0.436433084,0.224980121,0.491353625
ST生化,0,0,0.006950279,0.261039399
ST亚太,0,0,0.221892749,0.745349973
ST宜纸,0.313869587,0,0,0.193450274
S佳通,0.287096619,0.569888243,0.26329773,0.482750725
S前锋,0.110987954,0.382630691,0.149552994,0.463251172
TCL集团,0.534058953,0.72700058,0.548814948,0.760535021
艾比森,0.472291441,0.695952974,0.329012796,0.602409344
艾华集团,0.287386282,0.70146997,0.476213895,0.864962704
爱尔眼科,0.441742699,0.639828162,0.588466263,0.584898729
爱康科技,0.611435257,0.697115638,0.566630614,0.706886752
爱普股份,0.402349258,0.659542041,0.318778184,0.856480173
爱施德,0,0.500223897,0.371510214,0.344140086
爱仕达,0.459590539,0.642863009,0.572522092,0.851857673
安彩高科,0.538500132,0.587421741,0.075230111,0.625510994
安迪苏,0.219945006,0.661058163,0.402600248,0.729695216
安徽合力,0.697269609,0.819158645,0.31968794,0.889508121
安徽水利,0.596037252,0.792208628,0,0
安记食品,0,0,0,0.573568942
安洁科技,0.532739449,0.62315228,0.522448864,0.721352339
安居宝,0.151888321,0.583732785,0.58206715,0.562929919
安凯客车,0.56349121,0.72372138,0.350917945,0.841660943
安科瑞,0.448012204,0.72302151,0.41757388,0.766390198
安科生物,0.458070637,0.638904701,0.244508126,0.669350707
安控科技,0.516224393,0.71206889,0.322161625,0.636934283
安利股份,0.514097492,0.794516195,0.759900529,0.786457527
安纳达,0.426059963,0.589482097,0.462019816,0.628035863
安诺其,0.637139449,0.681907128,0.750603703,0.578259796
安琪酵母,0.386544146,0.63618044,0.627779902,0.374129638
安硕信息,0.236936715,0.6174798,0.4210885,0.489467067
安泰集团,0,0,0.149074913,0.187081861
安泰科技,0.379557667,0.799118051,0.427493902,0.895063553
安阳钢铁,0.658556856,0.858859641,0.705632592,0.604063589
安源煤业,0.472459013,0.809528128,0.530043147,0.687220071
鞍钢股份,0.632260376,0.55469203,0.678556375,0.582233295
奥康国际,0.327564404,0.5742503,0.234984963,0.721253833
奥克股份,0.374604378,0.779975825,0.370360815,0.87440351
奥瑞德,0.412864756,0.649020243,0,0.564293408
奥拓电子,0,0.670759324,0.275114132,0.656710136
澳柯玛,0.512549719,0.778631807,0.544221824,0.719635731
澳洋顺昌,0.44625579,0.819998512,0.458991773,0.832725091
八菱科技,0.186212087,0.428961316,0.117945077,0.690817359
巴安水务,0.456400589,0,0,0.424087189
巴士在线,0,0.612357897,0.25134447,0.545025086
芭田股份,0.093126596,0.652267363,0.609540984,0.871969417
白云电器,0,0,0,0
白云机场,0.607580807,0.80982154,0.699984262,0.686523916
白云山,0.569897724,0.687852227,0.540638522,0.887338626
百川股份,0.321584704,0,0.561762495,0.872966407
百川能源,0,0.492471436,0.185522254,0.353288117
百大集团,0.406739937,0.727289657,0.227851605,0.827540427
百利电气,0.303295939,0.66735727,0.543232164,0
百利科技,0,0,0,0
百联B股,0.405564624,0.760440724,0.575162742,0.759905108
百联股份,0.546377588,0.77344654,0.721453531,0.789785151
百隆东方,0.580339218,0.74559922,0.455220798,0.883064577
百润股份,0.057791836,0.489976317,0.381152618,0.538758128
百洋股份,0.29516093,0.403082713,0.456104304,0
佰利联,0,0.708014728,0.20187024,0.397788929
柏堡龙,0,0.275408704,0.227648663,0.571976669
邦宝益智,0,0,0,0.288129928
邦讯技术,0.262742533,0,0.386496863,0.703641027
棒杰股份,0.191566991,0.653327747,0.345914589,0.298642474
包钢股份,0.564056978,0.535856152,0.483965286,0.767889171
宝安地产,0.237673725,0,0.071647293,0.55333065
宝诚股份,0.352030692,0.680795686,0.130275189,0.622111522
宝德股份,0.32329067,0.574217037,0.379877317,0.348009377
宝鼎科技,0,0.467245938,0.291112991,0.532503019
宝钢包装,0,0.361426919,0.519129608,0.799095363
宝钢股份,0.540079761,0.581241368,0.634839274,0.588798584
宝光股份,0.353670565,0.479494164,0.282455269,0
宝莱特,0.30138772,0.729984202,0.632342748,0.750396817
宝利国际,0.389767547,0,0.179219991,0.726695762
宝色股份,0.366375105,0.766971441,0.426829439,0.714696596
宝胜股份,0.577269727,0.790445793,0.520252176,0.904956202
宝硕股份,0,0,0,0.61417511
宝塔实业,0.492824373,0,0,0.723029352
宝钛股份,0.607254334,0.777462201,0.447635584,0.528234391
宝泰隆,0.616995947,0.743386417,0.360651252,0.571767036
宝通科技,0.479578885,0,0.112408851,0.295764877
宝新能源,0.539491887,0.829759165,0.442453732,0.76260845
宝馨科技,0.624790537,0,0,0.263977927
宝信B,0.518602802,0.713522094,0.572372836,0.859950394
宝信软件,0.428419634,0.599659027,0.303783369,0.767258174
宝鹰股份,0.409556663,0,0.361573818,0.550955216
保变电气,0.543115589,0.868234494,0.598401783,0.932531378
保利地产,0.399113894,0.542723045,0.239425905,0.694227183
保千里,0.492172555,0,0.204496531,0.496483496
保税科技,0.53980293,0.862651102,0.647379463,0.822796643
报喜鸟,0.472993117,0.810674538,0.235813016,0.921086616
鲍斯股份,0.145865748,0,0.003149179,0.531857676
暴风科技,0.014064413,0.300169699,0,0
北巴传媒,0.603810144,0.834701043,0.538450784,0.779628998
北玻股份,0.616191592,0.823489465,0.386955558,0.502957052
北部湾港,0.46772873,0.688501214,0.310532776,0.725688426
北部湾旅,0.296670598,0.657354836,0,0.38020994
北辰实业,0.50719991,0.797215067,0.542365234,0.814066931
北大荒,0.373909776,0.543822729,0.499589245,0.767992995
北大医药,0.311512019,0.57309668,0.287688802,0.760004289
北斗星通,0.584658584,0,0.498662853,0.766030611
北方创业,0,0,0.122172205,0.734341638
北方导航,0.444666974,0.706140978,0.633474387,0.629925991
北方股份,0.440902698,0.630231548,0.414116644,0.539821156
北方国际,0.451154931,0.794404927,0,0
北方稀土,0.561604819,0.79585248,0.478741205,0.724926849
北京城建,0.415311213,0.748625961,0.636698408,0.749753556
北京城乡,0.563181249,0.796759131,0.552409209,0.855614788
北京君正,0.338533746,0.654620947,0.392423137,0.750912213
北京文化,0.393051335,0.458226178,0.394891331,0.570781649
北矿磁材,0.61336399,0.688809529,0.314679443,0.365269632
北陆药业,0.257885155,0.60454894,0.424940547,0.568012884
北特科技,0.459606762,0.676075251,0.300524008,0.55548109
北纬通信,0.587831673,0.817722819,0.40479909,0.796281652
北新建材,0,0,0.265682683,0.764058337
北新路桥,0.488221756,0.619511808,0.517617696,0.834709289
北信源,0.306053401,0,0.372063531,0.721548919
贝因美,0.682913428,0.540307624,0.374311103,0.798053572
本钢板B,0.280466892,0.47871917,0.452509336,0.575961977
本钢板材,0.497271181,0.323926744,0.223861107,0.296969202
比亚迪,0.523493699,0.545864492,0.274124743,0.736643771
必康股份,0.42361218,0.632508823,0.335668099,0.670782091
碧水源,0.540851078,0.565393072,0.294286043,0.836162567
标准股份,0.414950159,0.819342811,0.593212788,0.799661089
滨海能源,0.436281635,0.770680971,0.113950387,0.706866949
滨化股份,0.754326918,0.79286102,0.670260173,0.668709157
滨江集团,0.432152041,0.469395159,0.557766209,0.557797182
波导股份,0.202441753,0.670597934,0.347456309,0.616200001
博晖创新,0.343853256,0.642410462,0.4020689,0.719112791
博汇纸业,0.564994907,0.736293652,0.574571324,0.616811035
博济医药,0.16000162,0.636700949,0.470940023,0.83101296
博敏电子,0,0,0,0.340534529
博瑞传播,0.414537855,0.819025875,0,0.671830414
博世科,0.112720619,0.533669111,0.494995658,0.762682753
博腾股份,0.144210513,0,0.538990741,0.707912143
博通股份,0.517011026,0.584954986,0,0
博威合金,0.648109635,0.514383993,0.379699798,0
博闻科技,0.555189415,0.773221388,0.627120545,0.702842098
博信股份,0,0.666917311,0.174100205,0.560199462
博雅生物,0,0,0.551607439,0.312400059
博彦科技,0.292479879,0.605824183,0.575036313,0.863059143
渤海股份,0.522456516,0.693205513,0.252350926,0.431051997
渤海活塞,0.366747579,0.715192947,0,0
渤海金控,0.363256004,0.643992331,0.528854894,0
渤海轮渡,0.656649311,0.874115838,0.67323,0.909135298
步步高,0.42308246,0.762921511,0.622726186,0.931729121
步森股份,0,0.222785653,0.203984925,0
财信发展,0.438520038,0.6433406,0.27405194,0.261279723
彩虹股份,0.346880122,0.65290181,0,0.649108171
沧州明珠,0.541385603,0.614087179,0.575426226,0.705680853
昌红科技,0.36398318,0.636116713,0.443588285,0.622912672
昌九生化,0.31578613,0.765507795,0.358300887,0.736729048
常铝股份,0.375111983,0.722276136,0.403933577,0.76131002
常山股份,0.378263387,0.705454579,0.552888,0.879113159
常山药业,0.511048812,0.496913354,0.764391147,0.70256648
超声电子,0.728542532,0.869341515,0.61652191,0.906053358
超图软件,0.374089848,0.708961154,0,0.506259244
郴电国际,0.663537024,0.847570054,0.544452166,0.844864557
晨光生物,0.642649692,0.770915712,0.582972559,0.750791064
晨光文具,0.436369326,0.660973428,0.464015842,0.53984293
晨鸣B,0.401403463,0.754755611,0.435427918,0.615605085
晨鸣纸业,0.56725666,0.666690742,0.493191653,0.588169098
成都路桥,0.775266174,0.671785396,0.525908944,0.455676254
成发科技,0.373470132,0.690918036,0.365551189,0.567071874
诚益通,0.203184414,0.607474877,0.43231758,0
诚志股份,0,0,0.072367177,0.604862902
承德露露,0.704398955,0.67703252,0.485622741,0.832689337
城市传媒,0.208049489,0.803789614,0.386911971,0.856769997
城投控股,0,0.288502189,0.342068941,0.699932267
澄星股份,0.323474936,0.721835179,0,0.856160884
驰宏锌锗,0.629819493,0.710226314,0.549871221,0.662750611
