股票,2015年4月,2015年5月,2015年6月,2015年7月,2015年8月,2015年9月,2015年10月,2015年11月,2015年12月,2016年1月,2016年2月,2016年3月
万科A,19,13,11,20,30,8,16,8,14,3,2,16
国农科技,0,0,0,0,0,0,0,0,0,0,0,0
世纪星源,0,0,0,0,0,0,0,0,0,0,0,0
深振业A,2,0,1,1,1,0,0,0,0,0,0,2
神州高铁,0,0,1,1,2,1,1,2,1,0,0,0
美丽生态,0,0,0,0,0,0,0,0,0,0,0,0
深物业A,0,0,0,0,0,0,0,0,0,0,0,0
南玻A,6,0,1,1,3,2,3,1,0,0,0,2
沙河股份,0,0,0,0,0,0,0,0,0,0,0,0
深康佳A,0,0,0,0,0,0,0,0,0,0,0,0
深中华A,0,0,0,0,0,0,0,0,0,0,0,0
神州长城,0,0,1,3,1,0,5,1,8,10,1,3
深深宝A,0,0,0,0,0,0,0,0,0,0,0,0
深华发A,0,0,0,0,0,0,0,0,0,0,0,0
深科技,0,0,1,0,0,0,0,0,0,0,0,0
特力A,0,0,0,0,0,0,0,0,0,0,0,0
飞亚达A,4,1,2,0,3,0,3,2,1,0,0,8
深圳能源,1,0,0,0,0,2,0,0,0,1,0,0
深深房A,0,0,0,0,0,0,0,0,0,0,0,0
富奥股份,2,1,1,0,0,0,0,0,0,0,0,0
中粮地产,0,0,0,0,0,0,0,0,0,0,0,0
深桑达A,0,0,0,0,0,0,1,0,0,0,0,0
中国天楹,0,2,1,1,2,0,0,0,0,0,1,5
华联控股,1,0,0,2,2,0,0,0,2,2,5,1
中集集团,5,1,2,2,4,2,3,0,0,0,0,4
宝安地产,0,0,0,0,0,0,0,1,0,0,0,2
中洲控股,2,0,0,0,0,1,1,3,0,0,2,6
中航地产,0,0,0,0,2,0,0,1,1,2,0,5
深纺织A,0,1,0,0,0,0,0,0,0,0,0,0
泛海控股,1,0,1,0,3,0,2,1,2,1,1,0
康达尔,1,1,0,1,3,0,0,0,0,0,0,0
德赛电池,2,3,0,0,1,0,2,2,0,0,0,3
深天马A,1,0,0,1,4,0,1,2,2,2,4,2
方大集团,0,0,0,0,0,0,0,0,0,0,0,2
皇庭国际,0,0,2,2,2,1,0,0,0,2,0,1
深赛格,0,0,1,0,0,0,0,0,0,0,0,1
中金岭南,5,0,0,4,2,0,2,0,0,0,2,3
农产品,5,0,1,0,2,0,1,1,3,0,1,0
深圳华强,0,2,6,4,1,0,3,5,1,0,0,2
中兴通讯,14,2,0,14,11,2,12,14,1,11,3,0
华侨城A,3,0,0,0,6,0,2,0,0,0,0,0
特发信息,1,3,0,0,4,0,1,0,0,0,1,0
海王生物,4,0,3,1,2,0,1,0,0,0,0,0
盐田港,0,0,0,0,0,0,0,0,0,0,0,0
深圳机场,7,1,0,2,2,0,4,3,1,2,4,9
天健集团,4,0,3,3,4,0,3,0,1,0,0,7
广聚能源,0,0,0,0,0,0,0,0,0,0,0,0
中信海直,1,1,0,0,2,1,2,0,2,0,0,6
TCL集团,13,7,1,6,9,1,10,0,5,3,3,1
中成股份,0,0,0,0,0,0,0,0,0,0,0,0
华数传媒,5,2,1,0,2,1,0,2,0,0,0,0
中联重科,1,2,11,0,1,2,0,0,0,2,1,7
常山股份,0,1,0,0,1,2,0,1,0,0,1,0
国际实业,0,0,0,0,0,0,0,0,0,0,0,0
东方市场,0,0,0,0,0,0,0,0,0,0,0,0
美的集团,15,0,5,6,18,3,11,1,3,5,1,37
潍柴动力,2,0,1,0,2,0,0,1,0,0,0,3
许继电气,3,3,0,1,9,3,4,1,0,1,0,11
冀东水泥,15,0,0,0,5,0,2,0,0,1,0,0
金融街,4,0,0,0,1,2,0,3,1,0,0,1
华意压缩,1,0,0,0,1,0,1,0,0,0,0,3
胜利股份,0,0,0,1,0,0,0,2,2,0,4,2
山东地矿,0,0,0,0,0,0,0,0,0,0,0,1
沈阳机床,1,1,0,0,0,0,0,0,0,0,0,0
英特集团,0,0,2,0,0,0,0,2,0,0,0,0
东旭光电,1,0,1,0,1,0,2,1,0,0,5,1
渤海金控,3,4,1,3,2,1,3,2,1,1,0,0
合肥百货,8,0,0,0,4,0,4,0,0,0,0,0
小天鹅A,8,1,0,0,9,0,6,1,3,3,2,10
通程控股,0,0,0,0,1,0,0,0,0,0,0,0
吉林化纤,0,0,0,0,0,0,0,0,0,0,0,0
南京中北,0,0,0,2,1,0,0,0,0,0,0,1
湖北宜化,0,0,0,0,0,0,0,0,0,0,0,0
东阿阿胶,9,0,1,0,13,1,11,5,2,0,1,15
徐工机械,0,0,0,2,0,0,0,0,0,1,0,2
华天酒店,1,1,0,0,0,0,0,0,2,2,0,1
粤高速A,0,0,0,1,0,0,0,0,0,0,0,2
张家界,3,1,0,6,6,1,6,3,0,2,1,24
晨鸣纸业,7,1,2,1,5,0,14,5,1,5,0,15
山东路桥,1,1,2,0,1,0,0,0,0,0,0,4
鄂武商A,7,0,0,0,6,0,1,2,0,0,0,0
海虹控股,3,1,3,0,6,1,3,0,0,0,1,0
中润资源,0,0,0,0,0,0,0,0,0,0,0,0
珠海港,1,0,0,0,0,0,0,0,0,1,0,2
华塑控股,0,0,0,0,0,0,0,0,0,0,0,0
丽珠集团,4,8,0,0,3,0,3,0,1,3,2,8
渝开发,0,0,0,0,0,0,0,0,1,0,0,1
国际医学,7,0,2,1,1,0,2,0,0,1,0,1
荣安地产,0,0,0,0,0,0,0,0,0,0,0,0
四环生物,0,0,0,0,0,0,0,0,0,0,0,0
美菱电器,3,0,1,0,4,0,1,1,1,0,0,3
广州浪奇,0,1,0,1,1,0,1,0,1,0,0,0
岭南控股,0,0,2,0,5,1,0,0,0,0,1,7
红太阳,0,0,0,1,1,0,0,0,0,0,0,0
银润投资,0,0,0,0,0,1,0,2,0,0,0,0
柳工,0,0,0,0,0,0,0,0,0,0,0,0
广弘控股,0,0,0,0,0,0,0,0,0,0,0,0
大冷股份,4,5,6,6,6,0,5,0,5,0,3,6
穗恒运A,0,0,0,0,0,0,0,0,0,0,0,0
万家乐,0,0,0,0,0,0,0,0,1,0,0,0
华映科技,0,0,0,0,0,0,0,0,0,0,0,0
广宇发展,0,0,0,0,0,0,0,0,0,0,0,0
云南白药,11,0,0,0,13,0,2,5,0,0,0,0
粤电力A,2,1,0,1,2,0,0,0,1,0,0,1
中天城投,3,3,2,3,2,0,6,2,0,2,2,1
佛山照明,0,0,0,0,0,0,0,0,0,1,0,0
皖能电力,0,1,1,3,4,0,1,0,0,0,0,3
中原环保,0,0,1,0,1,1,1,0,0,0,0,0
金浦钛业,0,0,0,1,0,1,1,0,0,0,0,0
金圆股份,0,0,0,0,0,1,0,0,0,0,0,0
航天发展,2,0,0,2,0,0,0,1,0,0,1,0
湖南投资,0,0,0,0,0,0,0,0,0,0,0,0
江铃汽车,8,3,1,4,5,2,6,4,1,3,0,9
靖远煤电,1,0,0,0,1,0,0,1,0,0,0,2
泰山石油,0,0,0,0,0,0,0,0,1,0,0,0
神州信息,6,6,4,5,12,1,8,3,5,3,0,5
莱茵体育,1,1,3,8,2,2,5,4,4,4,0,4
万向钱潮,0,0,0,1,0,1,1,0,1,0,1,0
昆百大A,0,0,0,0,0,0,0,0,0,0,0,0
烽火电子,1,1,0,0,0,0,0,0,1,1,0,0
西安民生,0,0,1,0,0,0,2,1,0,0,0,0
渝三峡A,0,0,0,1,0,0,0,0,0,0,0,0
海南海药,4,0,2,0,1,0,1,1,9,2,1,1
海德股份,0,0,0,0,0,0,0,4,1,1,4,1
泸州老窖,13,1,2,4,19,2,11,4,18,6,1,4
苏常柴A,0,0,0,0,0,0,0,0,0,0,0,0
新大洲A,1,0,1,0,0,0,2,0,2,0,0,1
海马汽车,1,0,0,0,0,0,0,0,0,0,0,0
粤宏远A,0,0,0,0,0,0,0,0,0,0,0,0
广东甘化,0,0,0,0,0,0,0,0,0,0,0,0
威孚高科,7,1,1,0,5,1,5,1,0,0,1,1
北部湾港,1,0,0,0,1,0,0,0,0,0,0,0
友利控股,0,0,0,0,0,0,0,0,0,0,0,0
东北电气,0,0,0,0,0,0,0,0,0,0,0,0
金洲慈航,2,1,0,2,0,2,1,1,0,0,3,0
黔轮胎A,0,0,1,0,0,0,0,0,0,0,0,0
太阳能,0,0,0,0,0,0,0,0,0,0,0,0
平潭发展,0,1,2,0,1,0,0,1,0,0,0,0
大通燃气,0,3,1,0,0,0,0,0,1,0,0,1
古井贡酒,6,2,1,1,13,1,6,2,1,0,1,11
东北制药,0,0,0,0,0,0,0,0,0,0,0,1
兴蓉环境,3,0,0,3,1,0,3,0,0,2,0,7
青岛双星,3,0,0,0,1,0,1,1,0,0,0,0
建投能源,1,0,0,0,0,0,0,0,0,0,0,5
韶能股份,2,0,0,0,0,0,0,2,2,0,1,0
盛达矿业,4,2,6,0,1,0,0,0,4,2,0,0
渤海股份,0,2,3,0,0,0,0,0,2,0,0,1
华媒控股,1,0,0,3,5,1,1,1,0,1,0,2
阳光股份,0,0,0,0,1,0,0,0,0,0,0,1
绵世股份,0,0,0,0,0,0,0,0,0,0,0,0
西安旅游,1,0,1,0,2,0,0,0,0,0,1,1
焦作万方,2,0,0,0,0,0,0,0,0,0,0,0
大东海A,0,0,0,1,0,0,0,0,0,0,0,1
湖北金环,0,0,0,0,0,0,2,0,0,0,0,0
海航投资,0,0,1,0,0,0,0,2,0,0,0,1
海螺型材,0,0,0,0,2,0,0,0,0,0,0,2
新华联,0,0,3,1,2,0,1,0,1,0,0,0
吉林敖东,2,0,0,0,0,0,0,0,0,0,0,0
长安汽车,22,3,0,4,9,4,4,12,6,7,5,13
天茂集团,0,0,0,0,0,0,0,0,0,2,0,4
高新发展,0,0,0,0,2,0,1,0,0,0,0,0
顺发恒业,0,0,0,0,0,0,0,0,1,0,0,0
三木集团,0,0,0,0,0,0,0,0,0,0,0,0
英力特,0,0,0,0,0,0,0,0,0,0,0,0
风华高科,0,0,0,0,0,0,0,0,0,0,0,0
茂化实华,1,0,0,0,0,0,0,0,0,0,0,0
万方发展,0,0,1,1,0,0,2,4,1,0,0,0
西王食品,2,0,4,4,8,5,3,0,0,0,0,2
仁和药业,0,0,0,0,0,1,1,0,0,0,0,2
格力电器,25,0,7,2,8,3,2,10,6,2,1,5
泰达股份,0,0,0,0,0,0,0,0,0,0,0,0
金岭矿业,0,0,0,0,1,0,0,0,0,0,0,0
金科股份,3,0,0,0,4,0,1,0,0,1,0,3
长春高新,6,1,1,0,6,1,3,0,0,1,0,8
天夏智慧,0,0,0,0,0,0,0,0,1,0,0,1
永安林业,0,0,0,0,0,0,0,0,0,0,0,0
湖北广电,0,0,0,0,0,0,0,0,0,0,0,2
经纬纺机,0,1,0,0,5,2,3,2,4,2,1,5
美好集团,0,0,0,0,0,0,0,0,0,0,0,0
阳光城,5,2,0,0,2,1,1,0,2,0,1,4
上峰水泥,6,0,0,0,0,2,1,0,3,1,0,0
当代东方,1,3,0,5,3,1,0,1,2,0,0,1
襄阳轴承,0,1,0,0,0,0,0,0,1,0,1,0
山推股份,0,0,0,0,0,0,0,0,0,1,0,0
视觉中国,5,7,2,4,3,2,2,1,2,3,3,0
东方电子,0,0,0,0,0,0,0,0,0,0,0,0
远兴能源,1,0,0,0,0,0,0,0,0,0,0,0
