szr2,media.su,media.ft,zongher2,su.xuni,gongju,guba
0.108598,1,27,0.342,1,0,0.038458016
0.430882,0,21,0.3995,0,0,0.054093536
0.407451,1,22,0.5292,1,0,0.040717019
0.255558,1,64,0.5742,1,49.32,0.144463545
0.384461,0,45,0.6214,0,49.32,0.090941029
0.110676,0,36,0.6154,0,49.32,0.142256171
0.694138,1,16,0.5827,1,27.68,0.218253382
0.072682,1,32,0.4965,1,27.68,0.064778979
NA,1,185,0.2938,1,27.68,0.336096283
NA,1,42,0.7181,1,27.705,0.070519664
NA,3,12,0.6537,1,27.705,0.031132202
NA,7,19,0.6127,1,27.705,0.058603853
0.622908,0,4,0.342,0,41.68,0.005570335
0.390257,0,1,0.3995,0,41.68,0.005641429
0.285659,0,2,0.5292,0,41.68,0.004344026
0.759571,0,31,0.5742,0,51.39,0.032363595
0.517136,2,23,0.6214,1,51.39,0.03279228
0.817145,0,9,0.6154,0,51.39,0.01769372
0.698578,0,9,0.5827,0,51.78,0.026155033
0.423701,0,5,0.4965,0,51.78,0.007010617
0.095163,0,3,0.2938,0,51.78,0.0081901
0.905725,0,3,0.7181,0,52.04,0.00635348
0.893153,0,1,0.6537,0,52.04,0.000822037
0.520542,0,3,0.6127,0,52.04,0.00849209
NA,0,3,0.342,0,26.12,0.01057794
NA,0,4,0.3995,0,26.12,0.057276094
0.331447,0,3,0.5292,0,26.12,0.027486686
0.745279,0,3,0.5742,0,26.31,0.025925874
0.774042,0,5,0.6214,0,26.31,0.01664975
0.626424,0,4,0.6154,0,26.31,0.033256156
0.337077,0,7,0.5827,0,30.36,0.119144205
0.458683,0,3,0.4965,0,30.36,0.036996793
0.336532,0,1,0.2938,0,30.36,0.025150197
0.912028,0,2,0.7181,0,30.36,0.010244098
0.314603,0,2,0.6537,0,30.36,0.01807207
0.872727,0,0,0.6127,0,30.36,0.008917329
0.247632,0,2,0.342,0,36.87,0.013403749
0.335796,0,2,0.3995,0,36.87,0.010854798
0.589249,0,3,0.5292,0,36.87,0.015170798
0.877132,0,5,0.5742,0,44.89,0.006942646
0.701474,0,4,0.6214,0,44.89,0.026578977
0.812666,0,4,0.6154,0,44.89,0.011975412
0.620558,0,6,0.5827,0,41.6,0.02486245
0.535309,0,4,0.4965,0,41.6,0.017050484
0.486935,0,3,0.2938,0,41.6,0.005044633
0.801522,0,2,0.7181,0,41.79,0.002124954
0.783202,0,1,0.6537,0,41.79,0.005959719
0.637268,0,5,0.6127,0,41.79,0.018127405
NA,0,4,0.342,0,59.68,0.010077484
NA,0,6,0.3995,0,59.68,0.053639261
NA,0,9,0.5292,0,59.68,0.012069734
0.364471,0,5,0.5742,0,59.68,0.031426419
0.830201,0,2,0.6214,0,59.68,0.011668693
0.448791,2,7,0.6154,1,59.68,0.021886234
NA,3,4,0.5827,1,59.71,0.05656563
0.271595,0,4,0.4965,0,59.71,0.019299481
0.164218,1,2,0.2938,1,59.71,0.011062741
0.678165,0,5,0.7181,0,48.42,0.008910941
0.942886,0,1,0.6537,0,48.42,0.006822206
0.415487,0,1,0.6127,0,48.42,0.024340131
NA,0,0,0.342,0,48.48,0.002641205
NA,0,0,0.3995,0,48.48,0.009686925
0.481426,0,0,0.5292,0,48.48,0.01078626
0.826876,0,0,0.5742,0,47.51,0.010243958
0.448177,0,0,0.6214,0,47.51,0.024939245
0.857889,0,0,0.6154,0,47.51,0.014649094
0.57523,0,0,0.5827,0,46.81,0.01681939
0.393813,0,0,0.4965,0,46.81,0.011165472
0.227058,0,0,0.2938,0,46.81,0.006409788
0.80915,0,0,0.7181,0,46.81,0.005802313
0.745416,0,0,0.6537,0,46.81,0.00427654
0.740673,0,0,0.6127,0,46.81,0.008407536
0.195432,0,4,0.342,0,65.94,0.018610044
0.126173,0,1,0.3995,0,65.94,0.004568545
0.433066,0,1,0.5292,0,65.94,0.00373687
0.528462,0,1,0.5742,0,65.3,0.012973191
0.598908,0,1,0.6214,0,65.3,0.017694608
0.472843,0,1,0.6154,0,65.3,0.016992913
0.487366,0,4,0.5827,0,65.52,0.028776377
0.440567,0,0,0.4965,0,65.52,0.033792608
0.235168,0,2,0.2938,0,65.52,0.005676687
0.803925,0,0,0.7181,0,65.48,0.003125153
0.422409,0,4,0.6537,0,65.48,0.048905501
0.588193,0,2,0.6127,0,65.48,0.01641175
NA,0,0,0.342,0,23.52,0.025111221
0.382567,0,0,0.3995,0,23.52,0.020521294
0.499915,1,0,0.5292,1,23.52,0.022437531
0.558724,2,0,0.5742,1,29.35,0.039247387
0.661052,0,0,0.6214,0,29.35,0.028351872
0.659653,0,1,0.6154,0,29.35,0.022172897
0.757461,0,2,0.5827,0,30.96,0.012572256
0.528878,1,0,0.4965,1,30.96,0.014055328
0.094072,1,0,0.2938,1,30.96,0.034081622
0.824889,0,0,0.7181,0,34.36,0.020935466
0.680058,0,1,0.6537,0,34.36,0.032312952
0.858655,0,1,0.6127,0,34.36,0.012013044
